Sloupec,Průměr,Směrodatná odchylka
Ec,13.0005,0.9997545995189315
Rel,49.999979999999994,11.552588233573218
Erat_1,2.5,0.28884846101967293
E50_1,64.9984,5.0086149446392545
c_1,30.0001,5.004931500962758
phi_1,30.0006,1.0005302097891373
k0_1,0.85,0.144421804647559
Erat_2,2.5,0.288848461019673
E50_2,129.9915,10.018494296947921
c_2,4.998302,1.004635383136115
phi_2,42.0,1.0014703904474391
k0_2,0.5499970000000001,0.05777702983172614
U_251_1,5e-07,1.5811388300841928e-05
U_260_1,0.0024675,0.0001473616824872223
U_281_1,-0.003076527925,0.0009801302642112003
U_289_1,-0.009189028915000001,0.0007994842247603187
U_295_1,-0.004458261751,0.0009865611285884701
U_403_1,-0.006868427892000001,0.0008392359300772412
U_251_2,-0.003403418213,0.0006980775825734808
U_260_2,-0.009407882935,0.0006251768830606761
U_281_2,-0.00665869075,0.000491414118717212
U_289_2,-0.0007569669815999999,0.00038324954014833665
U_295_2,-0.00015910714599999998,0.0003684409525020679
U_403_2,-0.0005233237931,0.0005215488836005494
U_320_19.2,-0.00014836782320000003,0.00024034565877457652
U_318_19.2,-0.003327206643,0.00026764050964643137
U_316_19.2,-0.010635016362999999,0.0005691307710864361
U_315_19.2,-0.016316836818000002,0.0008174157726064093
U_314_19.2,-0.023978210778,0.0012294566894948792
U_313_19.2,-0.028046799735,0.0013896759910085217
U_312_19.2,-0.024706830588,0.0011369295524714558
U_311_19.2,-0.018055226048,0.0007433890958284658
U_310_19.2,-0.011643028872999998,0.0004920477831834676
U_308_19.2,-0.003512269222,0.0002453515656890757
U_306_19.2,-0.0002900055161,0.0002519129733865976
